Word,Trans,
alteration,store,
altered,store,
ambience,store,
arrival,collection,
arrivals,collection,
arrive,collection,
arrived,collection,
assistance,staff,
assisted,staff,
associate,staff,
atmosphere,store,
attend,staff,
attended,staff,
attention,staff,
attitude,staff,
avaiabke,collection,
availability,collection,
avelebal,collection,
bag,bag,
bags,bag,
behaved,staff,
behaving,staff,
behaviour,staff,
beige,color,
bill,store,
billed,store,
billing,store,
black,color,
blazer,blazer,
blazers,blazer,
blue,color,
boys,kids,
brand,brand,
casual,collection,
casuals,collection,
causals,collection,
cca,staff,
children,kids,
chinese,design,
chino,trouser,
clothes,collection,
clothing,collection,
cloths,collection,
collection,collection,
collections,collection,
color,color,
colored,color,
colors,color,
colour,color,
coloures,color,
colourful,color,
colours,color,
combinations,color,
cotton,collection,
denim,jeans,
denims,jeans,
design,design,
designs,design,
discount,discount,
discounts,discount,
dress,dress,
dresses,dress,
environment,store,
experience,store,
fabric,quality,
fabrics,quality,
female,women,
fit,fit,
fitting,fit,
footwear,shoes,
formal,formal,
formals,collection,
girls,kids,
guy,staff,
jacket,jacket,
jackets,jacket,
jeans,jeans,
kids,kids,
knowledge,staff,
ladies,women,
length,fit,
linen,quality,
material,collection,
mauve,color,
mens,mens,
merchandise,collection,
models,collection,
money,price,
mrp,price,
music,store,
navy,color,
neck,fit,
offer,discount,
offers,discount,
office,collection,
option,collection,
options,collection,
party,collection,
patterns,design,
platinum,loyalty,
pocket,quality,
price,price,
prices,price,
printed,design,
product,collection,
products,collection,
quality,quality,
quick,store,
range,collection,
ranges,collection,
sale,discount,
sales,discount,
section,collection,
services,store,
shirt,shirt,
shirts,shirt,
shop,store,
shopping,store,
shorts,shorts,
showroom,store,
size,size,
sizes,size,
sleeve,design,
sleeves,design,
slim,fit,
staff,staff,
staffs,staff,
stock,collection,
store,store,
stores,store,
style,design,
styles,collection,
sweat,collection,
team,staff,
trial,store,
trouser,trouser,
trousers,trouser,
tshirts,tshirt,
ultra,fit,
varieties,collection,
waist,size,
white,color,
winter,collection,
women,women,
womens,women,
xl,size,
xxl,size,
